personName,finalWorth,category,age,country,organization
Zong Qinghou,7200,Food & Beverage,77,China,Hangzhou Wahaha Group
Judy Faulkner,7100,Technology,79,United States,Epic Systems
Johann Graf,7100,Gambling & Casinos,76,Austria,
Tamara Gustavson,7100,Service,61,United States,
Liang Wengen,7100,Manufacturing,66,China,
Frederik Paulsen,7100,Healthcare,72,Switzerland,
Wee Cho Yaw,7100,Finance & Investments,94,Singapore,
Zhang Hejun,7100,Manufacturing,71,China,
Marc Benioff,7000,Technology,58,United States,Salesforce.com
Dmitri Bukhman,7000,Media & Entertainment,37,United Kingdom,
Igor Bukhman,7000,Media & Entertainment,41,United Kingdom,
Jack Dangermond,7000,Technology,77,United States,
Ashwin Dani & family,7000,Manufacturing,80,India,
Ralph Lauren,7000,Fashion & Retail,83,United States,Ralph Lauren
Law Kar Po,7000,Real Estate,74,Hong Kong,
Rohiqa Cyrus Mistry,7000,Diversified,55,India,
Shapoor Mistry,7000,Diversified,58,India,
J. Christopher Reyes,7000,Food & Beverage,69,United States,"Reyes Holdings, LLC"
Jude Reyes,7000,Food & Beverage,67,United States,"Reyes Holdings, LLC"
Don Vultaggio & family,7000,Food & Beverage,71,United States,
Alejandro Bailleres Gual & family,6900,Diversified,62,Mexico,
Edythe Broad & family,6900,Diversified,87,United States,
Pauline MacMillan Keinath,6900,Food & Beverage,89,United States,
Philippe Laffont,6900,Finance & Investments,55,United States,Coatue Management
Liu Jincheng & family,6900,Technology,58,China,
Igor Olenicoff,6900,Real Estate,80,United States,
Sandra Ortega Mera,6900,Fashion & Retail,54,Spain,
Ronda Stryker,6900,Healthcare,68,United States,
Dannine Avara,6800,Energy,59,United States,
Silvio Berlusconi & family,6800,Diversified,86,Italy,
Denise Coates,6800,Gambling & Casinos,55,United Kingdom,
Scott Duncan,6800,Energy,40,United States,
Milane Frantz,6800,Energy,53,United States,
"Edward Johnson, IV.",6800,Finance & Investments,58,United States,
Yuri Milner,6800,Finance & Investments,61,United States,DST Global
Gordon Moore,6800,Technology,94,United States,Intel Corp.
John Overdeck,6800,Finance & Investments,53,United States,Two Sigma
David Siegel,6800,Finance & Investments,61,United States,Two Sigma
Viktor Vekselberg,6800,Diversified,65,Russia,
Wang Laisheng,6800,Technology,58,China,
Randa Duncan Williams,6800,Energy,61,United States,Enterprise GP Holdings
Ken Fisher,6700,Finance & Investments,72,United States,
Christopher Hohn,6700,Finance & Investments,56,United Kingdom,The Children's Investment Fund Management
Kjeld Kirk Kristiansen,6700,Manufacturing,75,Denmark,
Sofie Kirk Kristiansen,6700,Manufacturing,47,Denmark,
Thomas Kirk Kristiansen,6700,Manufacturing,44,Denmark,
Massimiliana Landini Aleotti & family,6700,Healthcare,80,Italy,
Li Ping,6700,Automotive,55,China,
Lin Jianhua,6700,Manufacturing,60,China,
Magdalena Martullo-Blocher,6700,Manufacturing,54,Switzerland,
Xavier Niel,6700,Telecom,55,France,
Terrence Pegula,6700,Energy,72,United States,Buffalo Sabres
"Edward Roski, Jr.",6700,Real Estate,84,United States,"Majestic Realty, Co."
John A. Sobrato & family,6700,Real Estate,83,United States,Sobrato Development Cos.
George Soros,6700,Finance & Investments,92,United States,Soros Fund Management LLC
David Sun,6700,Technology,71,United States,Kingston Technology Corporation
Agnete Kirk Thinggaard,6700,Manufacturing,39,Denmark,
John Tu,6700,Technology,81,United States,Kingston Technology Corporation
Xu Shihui,6700,Food & Beverage,65,China,
Rahel Blocher,6600,Manufacturing,47,Switzerland,
Bubba Cathy,6600,Food & Beverage,68,United States,
Dan Cathy,6600,Food & Beverage,70,United States,
Trudy Cathy White,6600,Food & Beverage,67,United States,
